ResearchNumber,SealNumber,State,Species,DeathLocation,DateCollected,SampleType,Sex,AgeClass,Notes
,2161966,Maine,Odocoileus virginianus,China,NA,Lymph Node,F,NA,
,2148139,Maine,Odocoileus virginianus,Harmony,NA,Lymph Node,F,NA,
,2138386,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,F,NA,
,2163355,Maine,Odocoileus virginianus,,NA,Lymph Node,NA,NA,
,2168579,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,M,NA,
,2153300,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2140482,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,M,NA,
,2137658,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,F,NA,
,2161273,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2135542,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,M,NA,
,2137657,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2166054,Maine,Odocoileus virginianus,Chelsea,NA,Lymph Node,F,NA,
,2169696,Maine,Odocoileus virginianus,Georgetown,NA,Lymph Node,M,NA,
,2161970,Maine,Odocoileus virginianus,China,NA,Lymph Node,F,NA,
,2161935,Maine,Odocoileus virginianus,China,NA,Lymph Node,F,NA,
,2137439,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2151388,Maine,Odocoileus virginianus,Ripley,NA,Lymph Node,M,NA,
,2122584,Maine,Odocoileus virginianus,Poland,NA,Lymph Node,M,NA,
,2169878,Maine,Odocoileus virginianus,Arrowsic,NA,Lymph Node,M,NA,
,2172472,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,M,NA,
,2124985,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,F,NA,
,2140476,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2122240,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2161387,Maine,Odocoileus virginianus,Levant,NA,Lymph Node,M,NA,
,2161954,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2169700,Maine,Odocoileus virginianus,Georgetown,NA,Lymph Node,F,NA,
,2161195,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2169143,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,M,NA,
,2150738,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,F,NA,
,2168685,Maine,Odocoileus virginianus,Albion,NA,Lymph Node,F,NA,
,2133223,Maine,Odocoileus virginianus,Georgetown,NA,Lymph Node,F,NA,
,2169088,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,M,NA,
,2168617,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,F,NA,
,2167471,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,F,NA,
,2149635,Maine,Odocoileus virginianus,Rockland,NA,Lymph Node,F,NA,
,2142361,Maine,Odocoileus virginianus,Chelsea,NA,Lymph Node,F,NA,
,2130857,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,M,NA,
,2161104,Maine,Odocoileus virginianus,Levant,NA,Lymph Node,M,NA,
,2149607,Maine,Odocoileus virginianus,Rockland,NA,Lymph Node,F,NA,
,2141234,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,F,NA,
,2135181,Maine,Odocoileus virginianus,Lewiston,NA,Lymph Node,F,NA,
,2121636,Maine,Odocoileus virginianus,Richmond,NA,Lymph Node,F,NA,
,2110368,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,F,NA,
,2170269,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2138340,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,F,NA,
,2161885,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2142248,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,F,NA,
,2161709,Maine,Odocoileus virginianus,NA,NA,Lymph Node,NA,NA,
,2160521,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,F,NA,
,2169731,Maine,Odocoileus virginianus,Georgetown,NA,Lymph Node,F,NA,
,2164925,Maine,Odocoileus virginianus,Wayne,NA,Lymph Node,F,NA,
,2161919,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2141241,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2161987,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2141648,Maine,Odocoileus virginianus,Somerville,NA,Lymph Node,F,NA,
,2121735,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,M,NA,
,2170247,Maine,Odocoileus virginianus,China,NA,Lymph Node,F,NA,
,2169738,Maine,Odocoileus virginianus,Georgetown,NA,Lymph Node,F,NA,
,2111395,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,F,NA,
